brand,model,type,year,transmisi, avg_2nd_price , new_price ,residu,depresiasi_residu,estimasi_1,depresiasi,estimasi_2,estimasi_3,avg_estimasi,estimator,correction,output
Toyota,Kijang Innova Zenix,V (Non Premium Color),2023,Automatic,345000000,467600000,46812799.07,42078720.09,383442559.8,46760000,374080000,336672000,364731519.9,350919456,337402758.1,337402758.1
Toyota,Veloz,Q (Premium Color),2022,Automatic,203000000,292400000,29273016.36,26312698.36,213461904.9,29240000,204680000,189475200,202539035,202861710.5,198529738.8,202861710.5
Honda,WR-V,RS,2023,Automatic,199900000,297900000,29823637.39,26807636.26,244284727.5,29790000,238320000,214488000,232364242.5,209639272.7,195498003.9,195498003.9
Mitsubishi,Xpander,Ultimate,2023,Automatic,139000000,312900000,31325331.12,28157466.89,256585066.2,31290000,250320000,225288000,244064355.4,170519306.6,135939082.3,135939082.3
Toyota,Veloz,Q (Premium Color),2023,Automatic,208000000,305700000,30604518.13,27509548.19,250680903.6,30570000,244560000,220104000,238448301.2,217134490.4,203419633.9,203419633.9
Honda,HR-V,E,2020,Automatic,205000000,317800000,31815884.4,28598411.56,174807942.2,31780000,158900000,166806864,166838268.7,193551480.6,200485696.8,193551480.6
Toyota,Kijang Innova,Venturer,2022,Automatic,345000000,510300000,51087620.54,45921237.95,372536286.2,51030000,357210000,330674400,353473562.1,347542068.6,337402758.1,337402758.1
BMW,X1,sDrive18i xLine,2018,Automatic,285000000,669000000,66975540.16,60202445.98,247582878.1,66900000,200700000,284427223.2,244236700.4,272771010.1,278724017.6,272771010.1
Toyota,Calya,G,2018,Manual,85000000,140150000,14030825.04,12611917.5,51866577.53,14015000,42045000,59585164.92,51165580.82,74849674.24,83128215.77,74849674.24
Suzuki,Ignis,GX,2018,Automatic,115000000,159500000,15968009.95,14353199.01,59027606.96,15950000,47850000,67811871.6,58229826.19,97968947.86,112467586,97968947.86
Mercedes-Benz,GLC200,AMG Line,2020,Automatic,525000000,995000000,99612350.46,89538764.95,547306175.2,99500000,497500000,522255600,522353925.1,524206177.5,513438979.7,524206177.5
Nissan,Serena,Highway Star,2019,Automatic,215000000,465000000,46552505.49,41844749.45,213931503.3,46500000,186000000,219662280,206531261.1,212459378.3,210265486.9,212459378.3
Honda,Jazz,RS,2017,Automatic,162000000,272500000,27280769.35,24521923.07,76324615.48,27250000,54500000,104268724.2,78364446.56,136909334,158432599.5,136909334
